jday,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
325,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,
326,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,0
327,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
328,0,0,0,1,0,0,0,1,0,0,,,0,0,,,0,0,,,,0
329,0,1,,0,0,0,0,0,0,0,,,0,0,,,0,0,,,,
330,0,0,0,1,0,0,0,0,0,0,,,0,0,,,0,0,,,,
331,0,0,,0,0,0,0,0,0,0,,,0,0,,,0,0,,,,
332,0,2,0,0,0,0,0,0,0,1,,,0,0,,,0,0,,,,
333,0,0,,0,0,0,0,0,0,0,,,0,0,,,3,0,,,,
334,,2,0,0,0,1,0,0,0,,,,0,0,,,0,0,,,,
335,0,0,,0,,0,,,,,,,,0,,,,0,,,,
336,0,0,,0,,,,,,,,,,,,,,,,,,
337,0,0,,0,,,,,,,,,,,,,,,,,,
338,0,1,,0,,,,,,,,,,,,,,,,,,
339,,0,,,,,,,,,,,,,,,,,,,,
340,,0,,,,,,,,,,,,,,,,,,,,
341,,0,,,,,,,,,,,,,,,,,,,,
342,,0,,,,,,,,,,,,,,,,,,,,
